Date,Open,High,Low,Close,Adj Close,Volume
2010-07-16,3.389286,3.432143,3.355,3.426429,2.284753,148590400
2010-07-17,3.465,3.615714,3.440714,3.592857,2.395727,298373600
2010-07-18,3.57,3.73,3.535714,3.727857,2.485747,216066200
2010-07-19,3.702857,3.8,3.7,3.742857,2.495749,202554800
2010-07-20,3.75,3.804286,3.717143,3.746428,2.49813,150512600
2010-07-21,3.742857,3.862857,3.742857,3.821429,2.54814,182497000
2010-07-22,3.883571,4.007857,3.856429,3.950714,2.634349,301043400
2010-07-23,3.930714,3.967857,3.883571,3.889286,2.593387,232156400
2010-07-24,3.918571,3.928571,3.717143,3.908571,2.606247,301261800
2010-07-25,3.876429,3.960714,3.847143,3.884286,2.590053,131730200
2010-07-26,3.873571,3.896429,3.812857,3.860714,2.574335,118941200
2010-07-27,3.853571,3.956429,3.850714,3.910714,2.607676,127169000
2010-07-28,3.925,3.959286,3.873571,3.95,2.633872,101824800
2010-07-29,3.929286,3.977857,3.917143,3.964286,2.643397,98925400
2010-07-30,3.942857,3.961429,3.881428,3.945714,2.631014,94011400
2010-07-31,3.94,3.942857,3.891428,3.924286,2.616726,73775800
2010-08-01,3.942143,3.960714,3.872857,3.921429,2.61482,99437800
2010-08-02,3.878572,3.960714,3.877857,3.956429,2.638159,114787400
2010-08-03,3.963571,4.065,3.892857,3.940714,2.627681,191319800
2010-08-04,4.414286,4.571429,4.135714,4.382143,2.922026,642052600
2010-08-05,4.45,4.460714,4.360714,4.376429,2.918216,227862600
2010-08-06,4.406428,4.657143,4.396429,4.575,3.050624,347697000
2010-08-07,4.667857,4.697143,4.595714,4.610714,3.074439,137536000
2010-08-08,4.925,4.969285,4.815,4.888571,3.259714,428229200
2010-08-09,4.913571,4.913571,4.789286,4.789286,3.19351,257129600
2010-08-10,4.842143,4.853571,4.733572,4.842143,3.228756,200138400
2010-08-11,4.723571,4.778572,4.618571,4.657857,3.105873,246860600
2010-08-12,4.609286,4.642857,4.410714,4.477143,2.985373,309712200
2010-08-13,4.589286,4.731429,4.496428,4.698571,3.133021,311980200
2010-08-14,4.709286,4.766428,4.468572,4.492143,2.995374,264224800
2010-08-15,4.505714,4.602143,4.432143,4.52,3.01395,172975600
2010-08-16,4.486429,4.6,4.433571,4.570714,3.047766,185375400
2010-08-17,4.645,4.717857,4.621428,4.653572,3.103016,193943400
2010-08-18,4.687143,4.707143,4.614286,4.636428,3.091584,98760200
2010-08-19,4.671429,4.705714,4.644286,4.663571,3.109683,103930400
2010-08-20,4.66,4.675714,4.618571,4.661428,3.108254,99590400
2010-08-21,4.725,4.821429,4.717857,4.757143,3.172077,281528800
2010-08-22,4.774286,4.788571,4.635714,4.642143,3.095395,195874000
2010-08-23,4.676429,4.714286,4.411428,4.48,2.987278,292031600
2010-08-24,4.54,4.555,4.4,4.549286,3.033477,266103600
2010-08-25,4.547143,4.597143,4.528572,4.553571,3.036335,141457400
2010-08-26,4.553571,4.589286,4.542857,4.572143,3.048719,61482400
2010-08-27,4.628572,4.653572,4.491428,4.511428,3.008234,139872600
2010-08-28,4.521429,4.589286,4.432143,4.584286,3.056815,152938800
2010-08-29,4.557857,4.641428,4.540714,4.602857,3.069199,112390600
2010-08-30,4.629286,4.645,4.587143,4.628572,3.086346,86335200
2010-08-31,4.635,4.642857,4.573571,4.6,3.067294,69647200
